City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,saldanha,-33.0117,17.9442,48.25,83,0,4.81,ZA,06/30/23
82,salinopolis,-0.6136,-47.3561,79.77,86,6,11.34,BR,06/30/23
83,itapecerica,-20.4725,-45.1256,65.44,51,0,3.04,BR,06/30/23
84,luderitz,-26.6481,15.1594,61.23,54,0,7.76,NA,06/30/23
85,yarada,17.65,83.2667,86.85,74,52,10.45,IN,06/30/23
86,yulara,-25.2406,130.9889,46.74,66,100,16.28,AU,06/30/23
87,upernavik,72.7868,-56.1549,34.21,89,100,7.49,GL,06/30/23
88,yar-sale,66.8333,70.8333,47.73,61,14,6.46,RU,06/30/23
89,port blair,11.6667,92.75,77.04,94,100,5.75,IN,06/30/23
90,mandera,3.9366,41.867,82.4,53,100,16.71,KE,06/30/23
91,lavrentiya,65.5833,-171.0,49.87,68,1,8.41,RU,06/30/23
92,alice springs,-23.7,133.8833,44.15,100,100,10.36,AU,06/30/23
93,chokurdakh,70.6333,147.9167,46.31,46,31,7.38,RU,06/30/23
94,bredasdorp,-34.5322,20.0403,52.63,85,6,6.49,ZA,06/30/23
95,emilio carranza,19.9711,-96.6114,87.46,68,93,9.53,MX,06/30/23
96,kodiak,57.79,-152.4072,51.31,82,100,6.91,US,06/30/23
97,cherskiy,68.75,161.3,41.2,55,8,13.27,RU,06/30/23
98,nanortalik,60.1432,-45.2371,38.97,81,14,15.14,GL,06/30/23
99,dwarka,22.2394,68.9678,82.78,84,100,20.15,IN,06/30/23
100,port augusta,-32.5,137.7667,53.62,78,100,5.66,AU,06/30/23
101,provideniya,64.3833,-173.3,52.59,63,6,6.58,RU,06/30/23
102,biltine,14.5333,20.9167,93.52,18,3,4.79,TD,06/30/23
103,hithadhoo,-0.6,73.0833,82.09,75,77,7.65,MV,06/30/23
104,longyearbyen,78.2186,15.6401,49.84,76,20,13.8,SJ,06/30/23
105,chuy,-33.6971,-53.4616,50.13,79,100,5.82,UY,06/30/23
106,new norfolk,-42.7826,147.0587,47.7,93,66,2.77,AU,06/30/23
107,sorong,-0.8833,131.25,79.3,84,9,5.88,ID,06/30/23
108,port elizabeth,-33.918,25.5701,57.49,80,0,11.5,ZA,06/30/23
109,weligama,5.9667,80.4167,79.32,86,100,12.19,LK,06/30/23
110,nikolskoye,59.7035,30.7861,66.09,93,20,2.35,RU,06/30/23
111,ayan,56.45,138.1667,51.35,89,54,6.82,RU,06/30/23
112,barcelona,41.3888,2.159,75.83,79,40,10.36,ES,06/30/23
113,tuktoyaktuk,69.4541,-133.0374,78.8,47,20,8.05,CA,06/30/23
114,coari,-4.085,-63.1414,88.11,53,17,1.72,BR,06/30/23
115,salalah,17.0151,54.0924,80.69,94,100,5.75,OM,06/30/23
116,grindavik,63.8424,-22.4338,51.75,81,75,14.97,IS,06/30/23
117,victoria,22.2855,114.1577,86.38,83,100,4.0,HK,06/30/23
118,palu,-0.8917,119.8707,75.72,95,62,2.89,ID,06/30/23
119,wairoa,-39.0333,177.3667,45.55,79,28,1.99,NZ,06/30/23
120,panarukan,-7.7018,113.9184,76.91,83,97,6.11,ID,06/30/23
121,berezovka,53.7214,25.4993,60.62,86,11,4.0,BY,06/30/23
122,carnarvon,-24.8667,113.6333,55.4,44,0,16.46,AU,06/30/23
123,burlatskoye,45.0564,43.635,62.91,81,100,7.56,RU,06/30/23
124,dikson,73.5069,80.5464,34.18,84,11,11.63,RU,06/30/23
125,rawson,-43.3002,-65.1023,53.46,46,90,13.67,AR,06/30/23
126,namatanai,-3.6667,152.4333,77.72,89,100,7.4,PG,06/30/23
127,saskylakh,71.9167,114.0833,52.39,44,85,11.05,RU,06/30/23
128,baykit,61.67,96.37,55.8,91,100,2.1,RU,06/30/23
129,east london,-33.0153,27.9116,56.7,76,9,4.12,ZA,06/30/23
130,ewa beach,21.3156,-158.0072,84.15,65,75,15.01,US,06/30/23
131,chuzhou,32.3219,118.2978,72.81,95,70,1.66,CN,06/30/23
132,tucuman,-26.8241,-65.2226,66.2,63,75,3.44,AR,06/30/23
133,taylor,32.3001,-99.8337,98.42,41,75,18.41,US,06/30/23
134,ancud,-41.8697,-73.8203,52.07,91,100,20.2,CL,06/30/23
135,sorland,67.667,12.6934,55.26,95,11,10.49,NO,06/30/23
136,dunedin,-45.8742,170.5036,40.8,57,42,1.99,NZ,06/30/23
137,kokomo,40.4864,-86.1336,83.75,78,0,6.91,US,06/30/23
138,leningradskiy,69.3833,178.4167,37.24,74,95,23.98,RU,06/30/23
139,cabo san lucas,22.8909,-109.9124,95.18,51,8,5.3,MX,06/30/23
140,eching,48.3,11.6167,65.14,95,100,6.51,DE,06/30/23
141,mar del plata,-38.0023,-57.5575,52.95,78,0,15.01,AR,06/30/23
142,charters towers,-20.1,146.2667,54.9,50,80,9.24,AU,06/30/23
143,key biscayne,25.6937,-80.1628,88.02,80,100,8.05,US,06/30/23
144,damghan,36.1683,54.348,78.87,41,0,4.5,IR,06/30/23
145,chapais,49.7834,-74.8492,78.58,44,100,6.96,CA,06/30/23
146,genhe,50.7833,121.5167,52.25,89,7,2.08,CN,06/30/23
147,mitu,1.1983,-70.1733,79.48,81,100,2.3,CO,06/30/23
148,ilulissat,69.2167,-51.1,41.02,75,75,4.61,GL,06/30/23
149,pocoes,-14.5297,-40.3653,64.49,66,0,4.99,BR,06/30/23
150,dunkwa,5.9656,-1.78,73.71,95,96,3.44,GH,06/30/23
151,bilibino,68.0546,166.4372,43.29,72,95,1.79,RU,06/30/23
152,aitape,-3.1374,142.3475,77.18,87,68,4.29,PG,06/30/23
153,mount gambier,-37.8333,140.7667,49.28,85,100,6.71,AU,06/30/23
154,praia da vitoria,38.7333,-27.0667,70.75,83,20,12.3,PT,06/30/23
155,aripuana,-9.1667,-60.6333,86.14,42,0,1.86,BR,06/30/23
156,campina verde,-19.5356,-49.4864,72.37,35,0,6.17,BR,06/30/23
157,warrnambool,-38.3833,142.4833,52.86,75,100,13.94,AU,06/30/23
158,corralillo,22.9819,-80.5856,86.22,64,72,12.68,CU,06/30/23
159,carutapera,-1.195,-46.02,78.71,88,7,8.23,BR,06/30/23
160,necochea,-38.5473,-58.7368,50.97,62,100,5.32,AR,06/30/23
161,juba,4.8517,31.5825,69.42,95,100,3.69,SS,06/30/23
162,urumqi,43.801,87.6005,67.15,40,0,2.24,CN,06/30/23
163,nouadhibou,20.931,-17.0347,73.38,78,0,17.27,MR,06/30/23
164,ust-kulom,61.6864,53.6902,56.48,99,100,7.09,RU,06/30/23
165,tilichiki,60.4667,166.1,52.02,79,89,5.88,RU,06/30/23
166,kindu,-2.95,25.95,70.11,99,93,2.15,CD,06/30/23
167,naryan-mar,67.6713,53.087,39.15,88,49,8.86,RU,06/30/23
168,hay river,60.8156,-115.7999,76.98,36,75,8.05,CA,06/30/23
169,rio verde de mato grosso,-18.9181,-54.8442,75.07,39,0,1.36,BR,06/30/23
170,ponta do sol,32.6667,-17.1,72.23,69,1,7.23,PT,06/30/23
171,barsovo,61.1667,73.1667,51.93,67,3,6.51,RU,06/30/23
172,pangnirtung,66.1451,-65.7125,42.8,87,40,17.27,CA,06/30/23
173,kati,12.7441,-8.0726,76.41,71,99,3.74,ML,06/30/23
174,dori,14.0354,-0.0345,95.9,32,9,5.57,BF,06/30/23
175,smithers,54.7804,-127.1743,62.92,42,75,6.91,CA,06/30/23
176,pacifica,37.6138,-122.4869,99.07,71,20,17.27,US,06/30/23
177,krasnoselkup,65.7,82.4667,55.02,97,100,9.15,RU,06/30/23
178,saint-joseph,-21.3667,55.6167,64.78,72,9,5.48,RE,06/30/23
179,solnechnyy,50.7214,136.6319,62.58,75,100,3.87,RU,06/30/23
180,baiquan,47.5833,126.0833,66.25,56,92,3.31,CN,06/30/23
181,gloversville,43.0528,-74.3438,83.17,61,97,1.57,US,06/30/23
182,kavaratti,10.5669,72.642,83.16,75,86,15.46,IN,06/30/23
183,niquero,20.0431,-77.5828,87.01,64,80,2.35,CU,06/30/23
184,maceio,-9.6658,-35.7353,78.24,83,75,9.22,BR,06/30/23
185,jumla,29.2747,82.1838,61.84,97,100,2.21,NP,06/30/23
186,lorengau,-2.0226,147.2712,79.47,83,99,3.02,PG,06/30/23
187,tieli,46.95,128.05,63.64,66,31,4.36,CN,06/30/23
188,bengkulu,-3.8004,102.2655,76.86,87,85,0.69,ID,06/30/23
189,mastic beach,40.7668,-72.8521,80.22,80,0,8.05,US,06/30/23
190,faanui,-16.4833,-151.75,80.53,75,6,22.7,PF,06/30/23
191,santa rosalia,27.3167,-112.2833,89.98,41,1,7.16,MX,06/30/23
192,oyama,36.3,139.8,80.58,82,100,3.74,JP,06/30/23
193,nagayo,32.8242,129.8861,79.36,88,100,9.22,JP,06/30/23
194,havelock,34.8791,-76.9013,87.76,68,75,8.05,US,06/30/23
195,porto franco,-6.3383,-47.3992,88.14,38,63,3.53,BR,06/30/23
196,sharjah,25.3573,55.4033,89.89,62,0,10.36,AE,06/30/23
197,sangmelima,2.9333,11.9833,68.88,98,93,1.48,CM,06/30/23
198,aktau,43.65,51.2,70.38,72,2,13.96,KZ,06/30/23
199,sao joao da barra,-21.6403,-41.0511,69.89,71,28,11.86,BR,06/30/23
200,severo-kurilsk,50.6789,156.125,46.45,98,97,15.99,RU,06/30/23
201,ceres,37.5949,-120.9577,104.79,22,0,4.61,US,06/30/23
202,ostrovnoy,68.0531,39.5131,42.66,91,100,6.89,RU,06/30/23
203,vao,-22.6667,167.4833,68.27,57,88,10.42,NC,06/30/23
204,vilhena,-12.7406,-60.1458,82.62,44,40,9.22,BR,06/30/23
205,laguna,38.421,-121.4238,103.32,28,0,6.91,US,06/30/23
206,pangai,-19.8,-174.35,77.11,78,20,9.22,TO,06/30/23
207,bure,10.7,37.0667,58.57,94,92,2.28,ET,06/30/23
208,nizhniy kuranakh,58.8353,125.4869,67.62,86,4,2.51,RU,06/30/23
209,mahebourg,-20.4081,57.7,70.09,64,40,11.5,MU,06/30/23
